A001, Ram Lama, Business
A002, Mark Timalsina, Business
A003, Lina Shrestha, Business
A004, Sita Thapa, Business
A005, Gita Thapa, Business
A006, Hari Basnet, Business
A007, Shyamu Kaushal, Business
A008, Bipana Magar, Business
A009, Sisham Thapa, Business
A0010, Riya Chaudary , Business
A0011, Arika Basnet, Business
A0012, Aayusha Mishra, Business
A0013, Aman Ale, Business
A0014, Amrita Khadka, Business
A0015, Anup Bhattarai, Business
A0016, Ann Magar, Business
A0017, Asita Mishra, Business
A0018, Julia Haart, Business
A0019, Nikita Ale, Business
A0020, Namuna Chaudhary, Business
A0021, Kushal Rai, Business
A0022, Selsa Chaudhary, Business
A0023, Nabin Thapa, Business
A0024, Suraj Acharya, Business
